scale_factor, prob_eval(s)
0.1,11.656174931
0.2,22.976931844
0.3,35.109890102
0.4,48.511635688
0.5,58.921010526
0.6,68.34471701
0.7,80.938643003
0.8,92.660213909
0.9,103.759303937
1,114.93066114
1.1,116.617681426
1.2,114.814737697
1.3,115.278637675
1.4,115.665318736
1.5,117.902558238
1.6,131.13145349
1.7,132.706256412
1.8,129.107617448
1.9,126.418600009
2,281.049092438
2.1,239.377297189
2.2,239.427717434
2.3,233.940153929
2.4,248.964127489
2.5,273.902842119
2.6,310.884624677
2.7,308.48470375
2.8,417.599035011
2.9,457.482076849
3,837.104892174
3.1,715.056437584
3.2,844.040939936
