scale_factor,formula(s),counting(s),why(s)
1,660.288153423,595.122906106,1164.236515967
2,1330.361245225,1200.122185012,2340.277869845
3,2023.294425452,1817.713513135,3527.864529577
4,2678.397533116,2429.788296637,4684.700723451
5,3389.391018331,3042.911925472,5896.613475088
6,4072.794281312,3649.459903835,7083.705252935
7,4786.641673043,4309.119513381,8412.575173682
8,5758.331318361,4993.152655606,9547.073606913
9,6461.953356915,5583.706488145,10750.181909013
10,7116.911464792,6784.145195131,12559.099674854

