scale_factor,noprov(s),prov(s),why(s)
1,.05978408160000000000,.06242478840000000000,.06765582880000000000
2,.07112918670000000000,.07413971610000000000,.08552386780000000000
3,.06105941570000000000,.06401238970000000000,.06986067910000000000
4,.06436546180000000000,.06677582290000000000,.07177870750000000000
5,.05403786510000000000,.06702891040000000000,.07216024040000000000
6,.05111166640000000000,.07692077240000000000,.08034044600000000000
7,.05846879900000000000,.06252298770000000000,.07063937880000000000
8,.05158040410000000000,.05901749250000000000,.06030169000000000000
9,.06449667130000000000,.07399934120000000000,.07449963260000000000
10,.06485716640000000000,.07334999770000000000,.07587609870000000000
