scale_factor,noprov(s),prov(s),formula(s),counting(s),why(s)
1,.641834338,1.590227746,62.661952057,54.470655757,128.715014836
2,1.053448842,3.078479298,123.343453565,108.858236396,253.270310433
3,1.523930609,4.357257634,183.380941115,161.309310519,378.031221161
4,1.997420234,6.315214056,255.978986700,218.180035234,513.436996297
5,2.490896777,9.049041110,350.828574891,274.345110174,645.966619186
6,3.014289973,13.857560536,439.023967689,362.062980059,779.054186777
7,3.577214961,15.473507583,509.270480451,438.321267176,908.610057254
8,4.002935878,24.913458938,586.301742017,484.317313703,1105.191199691
9,4.442783989,32.306713631,657.967935965,546.233437306,1173.355756423
10,5.162349129,46.231953172,732.207571084,626.919212432,1404.165716109
