scale_factor,query,withoutprov(s)
1,6_tpch.sql,.26256554470000000000
1,3_tpch.sql,.04961086890000000000
1,7_tpch.sql,.43830501600000000000
1,9_tpch.sql,.55400108180000000000
1,10_tpch.sql,.15183319170000000000
1,12_tpch.sql,.37597413880000000000
1,14_tpch.sql,.02800606990000000000
1,19_tpch.sql,.37451809700000000000
2,6_tpch.sql,.44388977320000000000
2,3_tpch.sql,.05027568310000000000
2,7_tpch.sql,.74196726720000000000
2,9_tpch.sql,1.39767221350000000000
2,10_tpch.sql,.24670133530000000000
2,12_tpch.sql,.66290058430000000000
2,14_tpch.sql,.02825748860000000000
2,19_tpch.sql,.64424715630000000000
3,6_tpch.sql,.64894802490000000000
3,3_tpch.sql,.04612952170000000000
3,7_tpch.sql,1.09354803900000000000
3,9_tpch.sql,2.40968727350000000000
3,10_tpch.sql,.34163433380000000000
3,12_tpch.sql,.96124868640000000000
3,14_tpch.sql,.02825106020000000000
3,19_tpch.sql,1.07316136850000000000
4,6_tpch.sql,.78837506060000000000
4,3_tpch.sql,.04907575460000000000
4,7_tpch.sql,1.68133057070000000000
4,9_tpch.sql,3.12523889960000000000
4,10_tpch.sql,.43114495890000000000
4,12_tpch.sql,1.20333960850000000000
4,14_tpch.sql,.02687274100000000000
4,19_tpch.sql,1.27043511940000000000
5,6_tpch.sql,.92833543450000000000
5,3_tpch.sql,.05141806710000000000
5,7_tpch.sql,1.99020506770000000000
5,9_tpch.sql,154.66896946550000000000
5,10_tpch.sql,.51466442940000000000
5,12_tpch.sql,1.38838793540000000000
5,14_tpch.sql,.02815259450000000000
5,19_tpch.sql,1.46917278040000000000
6,6_tpch.sql,1.07605904100000000000
6,3_tpch.sql,.05268686780000000000
6,7_tpch.sql,2.27595838920000000000
6,9_tpch.sql,226.24583897330000000000
6,10_tpch.sql,.61505428300000000000
6,12_tpch.sql,1.61031518710000000000
6,14_tpch.sql,.02864859650000000000
6,19_tpch.sql,1.68105196720000000000
7,6_tpch.sql,1.24898225530000000000
7,3_tpch.sql,.05959748710000000000
7,7_tpch.sql,2.69654715200000000000
7,9_tpch.sql,302.85265883020000000000
7,10_tpch.sql,.72770654450000000000
7,12_tpch.sql,1.88576127130000000000
7,14_tpch.sql,.03294982070000000000
7,19_tpch.sql,1.91249410640000000000
8,6_tpch.sql,1.36562711860000000000
8,3_tpch.sql,.05250035700000000000
8,7_tpch.sql,3.06832082310000000000
8,9_tpch.sql,392.86311159880000000000
8,10_tpch.sql,1.46875574460000000000
8,12_tpch.sql,2.08321509690000000000
8,14_tpch.sql,.02632030380000000000
8,19_tpch.sql,2.09644390780000000000
9,6_tpch.sql,1.57401805810000000000
9,3_tpch.sql,.05996031020000000000
9,7_tpch.sql,3.42551185740000000000
9,9_tpch.sql,495.21615123530000000000
9,10_tpch.sql,1.70596142990000000000
9,12_tpch.sql,2.45460146830000000000
9,14_tpch.sql,.03434528920000000000
9,19_tpch.sql,2.38366692710000000000
10,6_tpch.sql,1.76028229490000000000
10,3_tpch.sql,.06488899410000000000
10,7_tpch.sql,3.79156054970000000000
10,9_tpch.sql,613.23557263570000000000
10,10_tpch.sql,1.87468002440000000000
10,12_tpch.sql,2.67801889630000000000
10,14_tpch.sql,.02896512600000000000
10,19_tpch.sql,2.63611881900000000000
